respondent_id,characteristic,importance
0,precision,4
1,precision,5
2,precision,5
3,precision,5
4,precision,5
5,precision,5
6,precision,5
7,precision,4
8,precision,5
9,precision,5
10,precision,5
11,precision,5
12,precision,5
13,precision,5
14,precision,5
15,precision,4
16,precision,5
17,precision,5
18,precision,1
19,precision,5
20,precision,5
21,precision,5
22,precision,5
23,precision,5
24,precision,4
25,precision,5
26,precision,5
27,precision,5
28,precision,5
29,precision,5
30,precision,5
31,precision,5
32,precision,4
33,precision,5
34,precision,4
35,precision,5
36,precision,4
37,precision,3
38,precision,5
39,precision,4
40,precision,5
41,precision,5
42,precision,5
43,precision,4
44,precision,4
45,precision,4
46,precision,4
47,precision,4
48,precision,5
49,precision,5
50,precision,2
51,precision,5
52,precision,5
53,precision,5
54,precision,5
55,precision,5
0,completeness,4
1,completeness,4
2,completeness,5
3,completeness,4
4,completeness,5
5,completeness,5
6,completeness,5
7,completeness,4
8,completeness,4
9,completeness,5
10,completeness,5
11,completeness,5
12,completeness,4
13,completeness,4
14,completeness,4
15,completeness,2
16,completeness,5
17,completeness,5
18,completeness,2
19,completeness,5
20,completeness,5
21,completeness,5
22,completeness,5
23,completeness,4
24,completeness,4
25,completeness,5
26,completeness,5
27,completeness,5
28,completeness,5
29,completeness,5
30,completeness,5
31,completeness,4
32,completeness,4
33,completeness,5
34,completeness,4
35,completeness,4
36,completeness,4
37,completeness,5
38,completeness,5
39,completeness,4
40,completeness,4
41,completeness,5
42,completeness,4
43,completeness,5
44,completeness,4
45,completeness,4
46,completeness,5
47,completeness,5
48,completeness,5
49,completeness,5
50,completeness,4
51,completeness,5
52,completeness,4
53,completeness,5
54,completeness,4
55,completeness,4
0,consistency,4
1,consistency,5
2,consistency,5
3,consistency,5
4,consistency,5
5,consistency,5
6,consistency,5
7,consistency,5
8,consistency,5
9,consistency,5
10,consistency,5
11,consistency,4
12,consistency,5
13,consistency,4
14,consistency,5
15,consistency,4
16,consistency,5
17,consistency,5
18,consistency,1
19,consistency,5
20,consistency,4
21,consistency,4
22,consistency,5
23,consistency,5
24,consistency,4
25,consistency,5
26,consistency,5
27,consistency,5
28,consistency,5
29,consistency,5
30,consistency,5
31,consistency,5
32,consistency,5
33,consistency,3
34,consistency,5
35,consistency,5
36,consistency,5
37,consistency,4
38,consistency,5
39,consistency,5
40,consistency,5
41,consistency,4
42,consistency,5
43,consistency,4
44,consistency,3
45,consistency,4
46,consistency,3
47,consistency,4
48,consistency,3
49,consistency,4
50,consistency,4
51,consistency,4
52,consistency,5
53,consistency,4
54,consistency,5
55,consistency,5
0,credibility,4
1,credibility,5
2,credibility,5
3,credibility,5
4,credibility,5
5,credibility,5
6,credibility,4
7,credibility,5
8,credibility,4
9,credibility,4
10,credibility,5
11,credibility,5
12,credibility,5
13,credibility,4
14,credibility,5
15,credibility,4
16,credibility,5
17,credibility,5
18,credibility,1
19,credibility,5
20,credibility,4
21,credibility,4
22,credibility,5
23,credibility,5
24,credibility,5
25,credibility,5
26,credibility,5
27,credibility,5
28,credibility,5
29,credibility,5
30,credibility,5
31,credibility,5
32,credibility,4
33,credibility,5
34,credibility,5
35,credibility,5
36,credibility,5
37,credibility,2
38,credibility,5
39,credibility,5
40,credibility,5
41,credibility,5
42,credibility,5
43,credibility,4
44,credibility,4
45,credibility,5
46,credibility,3
47,credibility,3
48,credibility,4
49,credibility,5
50,credibility,4
51,credibility,5
52,credibility,4
53,credibility,5
54,credibility,5
55,credibility,5
0,currentness,4
1,currentness,5
2,currentness,5
3,currentness,4
4,currentness,2
5,currentness,5
6,currentness,4
7,currentness,5
8,currentness,4
9,currentness,4
10,currentness,4
11,currentness,5
12,currentness,5
13,currentness,3
14,currentness,2
15,currentness,3
16,currentness,4
17,currentness,4
18,currentness,1
19,currentness,5
20,currentness,4
21,currentness,5
22,currentness,5
23,currentness,4
24,currentness,4
25,currentness,5
26,currentness,4
27,currentness,3
28,currentness,5
29,currentness,3
30,currentness,4
31,currentness,4
32,currentness,4
33,currentness,3
34,currentness,4
35,currentness,4
36,currentness,3
37,currentness,2
38,currentness,5
39,currentness,5
40,currentness,5
41,currentness,4
42,currentness,3
43,currentness,5
44,currentness,4
45,currentness,3
46,currentness,3
47,currentness,3
48,currentness,2
49,currentness,5
50,currentness,3
51,currentness,3
52,currentness,2
53,currentness,5
54,currentness,4
55,currentness,4
0,accessibility,4
1,accessibility,5
2,accessibility,5
3,accessibility,4
4,accessibility,3
5,accessibility,5
6,accessibility,3
7,accessibility,3
8,accessibility,4
9,accessibility,3
10,accessibility,5
11,accessibility,4
12,accessibility,5
13,accessibility,5
14,accessibility,3
15,accessibility,4
16,accessibility,4
17,accessibility,4
18,accessibility,1
19,accessibility,5
20,accessibility,3
21,accessibility,4
22,accessibility,5
23,accessibility,4
24,accessibility,4
25,accessibility,3
26,accessibility,3
27,accessibility,3
28,accessibility,4
29,accessibility,5
30,accessibility,5
31,accessibility,3
32,accessibility,4
33,accessibility,3
34,accessibility,5
35,accessibility,3
36,accessibility,4
37,accessibility,1
38,accessibility,5
39,accessibility,4
40,accessibility,5
41,accessibility,4
42,accessibility,3
43,accessibility,4
44,accessibility,3
45,accessibility,5
46,accessibility,5
47,accessibility,5
48,accessibility,4
49,accessibility,5
50,accessibility,4
51,accessibility,4
52,accessibility,2
53,accessibility,4
54,accessibility,4
55,accessibility,3
0,compliance,4
1,compliance,5
2,compliance,5
3,compliance,4
4,compliance,3
5,compliance,5
6,compliance,3
7,compliance,4
8,compliance,5
9,compliance,4
10,compliance,4
11,compliance,4
12,compliance,5
13,compliance,2
14,compliance,5
15,compliance,3
16,compliance,5
17,compliance,5
18,compliance,1
19,compliance,5
20,compliance,5
21,compliance,5
22,compliance,5
23,compliance,3
24,compliance,4
25,compliance,5
26,compliance,3
27,compliance,3
28,compliance,5
29,compliance,3
30,compliance,5
31,compliance,3
32,compliance,3
33,compliance,3
34,compliance,4
35,compliance,5
36,compliance,4
37,compliance,2
38,compliance,5
39,compliance,5
40,compliance,5
41,compliance,4
42,compliance,4
43,compliance,4
44,compliance,3
45,compliance,3
46,compliance,3
47,compliance,2
48,compliance,4
49,compliance,3
50,compliance,5
51,compliance,5
52,compliance,5
53,compliance,3
54,compliance,3
55,compliance,5
0,reliability,4
1,reliability,5
2,reliability,5
3,reliability,5
4,reliability,4
5,reliability,5
6,reliability,5
7,reliability,4
8,reliability,5
9,reliability,4
10,reliability,5
11,reliability,5
12,reliability,5
13,reliability,5
14,reliability,5
15,reliability,5
16,reliability,5
17,reliability,5
18,reliability,1
19,reliability,5
20,reliability,4
21,reliability,4
22,reliability,5
23,reliability,5
24,reliability,4
25,reliability,5
26,reliability,4
27,reliability,4
28,reliability,5
29,reliability,5
30,reliability,5
31,reliability,5
32,reliability,4
33,reliability,5
34,reliability,5
35,reliability,5
36,reliability,5
37,reliability,4
38,reliability,5
39,reliability,5
40,reliability,5
41,reliability,4
42,reliability,5
43,reliability,4
44,reliability,3
45,reliability,3
46,reliability,4
47,reliability,5
48,reliability,4
49,reliability,4
50,reliability,5
51,reliability,5
52,reliability,5
53,reliability,5
54,reliability,5
55,reliability,5
0,efficiency,4
1,efficiency,5
2,efficiency,5
3,efficiency,4
4,efficiency,4
5,efficiency,5
6,efficiency,5
7,efficiency,4
8,efficiency,5
9,efficiency,5
10,efficiency,5
11,efficiency,5
12,efficiency,5
13,efficiency,4
14,efficiency,5
15,efficiency,4
16,efficiency,3
17,efficiency,4
18,efficiency,2
19,efficiency,5
20,efficiency,4
21,efficiency,4
22,efficiency,5
23,efficiency,3
24,efficiency,4
25,efficiency,4
26,efficiency,3
27,efficiency,2
28,efficiency,4
29,efficiency,4
30,efficiency,4
31,efficiency,4
32,efficiency,4
33,efficiency,4
34,efficiency,4
35,efficiency,5
36,efficiency,4
37,efficiency,3
38,efficiency,5
39,efficiency,4
40,efficiency,4
41,efficiency,4
42,efficiency,5
43,efficiency,4
44,efficiency,3
45,efficiency,3
46,efficiency,3
47,efficiency,2
48,efficiency,3
49,efficiency,4
50,efficiency,3
51,efficiency,4
52,efficiency,4
53,efficiency,5
54,efficiency,4
55,efficiency,4
0,traceability,4
1,traceability,4
2,traceability,5
3,traceability,4
4,traceability,3
5,traceability,5
6,traceability,4
7,traceability,4
8,traceability,4
9,traceability,4
10,traceability,5
11,traceability,5
12,traceability,5
13,traceability,2
14,traceability,2
15,traceability,5
16,traceability,4
17,traceability,5
18,traceability,2
19,traceability,5
20,traceability,3
21,traceability,5
22,traceability,5
23,traceability,2
24,traceability,5
25,traceability,4
26,traceability,2
27,traceability,4
28,traceability,4
29,traceability,4
30,traceability,4
31,traceability,3
32,traceability,3
33,traceability,2
34,traceability,5
35,traceability,4
36,traceability,4
37,traceability,3
38,traceability,5
39,traceability,4
40,traceability,4
41,traceability,3
42,traceability,4
43,traceability,4
44,traceability,4
45,traceability,4
46,traceability,4
47,traceability,5
48,traceability,4
49,traceability,3
50,traceability,3
51,traceability,5
52,traceability,2
53,traceability,4
54,traceability,4
55,traceability,4
0,understandability,4
1,understandability,5
2,understandability,5
3,understandability,4
4,understandability,3
5,understandability,5
6,understandability,3
7,understandability,3
8,understandability,4
9,understandability,4
10,understandability,5
11,understandability,4
12,understandability,5
13,understandability,5
14,understandability,2
15,understandability,4
16,understandability,4
17,understandability,3
18,understandability,1
19,understandability,5
20,understandability,3
21,understandability,5
22,understandability,5
23,understandability,5
24,understandability,4
25,understandability,3
26,understandability,3
27,understandability,2
28,understandability,4
29,understandability,3
30,understandability,4
31,understandability,4
32,understandability,3
33,understandability,3
34,understandability,5
35,understandability,4
36,understandability,3
37,understandability,3
38,understandability,5
39,understandability,3
40,understandability,5
41,understandability,3
42,understandability,4
43,understandability,4
44,understandability,4
45,understandability,4
46,understandability,4
47,understandability,4
48,understandability,1
49,understandability,4
50,understandability,4
51,understandability,4
52,understandability,3
53,understandability,5
54,understandability,5
55,understandability,4
0,availability,4
1,availability,5
2,availability,5
3,availability,4
4,availability,3
5,availability,5
6,availability,5
7,availability,3
8,availability,5
9,availability,5
10,availability,5
11,availability,5
12,availability,5
13,availability,5
14,availability,4
15,availability,4
16,availability,4
17,availability,4
18,availability,1
19,availability,5
20,availability,4
21,availability,4
22,availability,5
23,availability,5
24,availability,5
25,availability,5
26,availability,3
27,availability,2
28,availability,5
29,availability,4
30,availability,5
31,availability,5
32,availability,4
33,availability,5
34,availability,5
35,availability,3
36,availability,4
37,availability,4
38,availability,5
39,availability,3
40,availability,5
41,availability,4
42,availability,5
43,availability,5
44,availability,4
45,availability,3
46,availability,4
47,availability,5
48,availability,5
49,availability,5
50,availability,4
51,availability,5
52,availability,4
53,availability,4
54,availability,5
55,availability,3
0,recoverability,4
1,recoverability,5
2,recoverability,5
3,recoverability,4
4,recoverability,3
5,recoverability,5
6,recoverability,3
7,recoverability,3
8,recoverability,5
9,recoverability,5
10,recoverability,5
11,recoverability,5
12,recoverability,5
13,recoverability,5
14,recoverability,4
15,recoverability,4
16,recoverability,5
17,recoverability,4
18,recoverability,1
19,recoverability,5
20,recoverability,3
21,recoverability,4
22,recoverability,5
23,recoverability,3
24,recoverability,5
25,recoverability,5
26,recoverability,3
27,recoverability,3
28,recoverability,5
29,recoverability,4
30,recoverability,5
31,recoverability,5
32,recoverability,4
33,recoverability,5
34,recoverability,5
35,recoverability,5
36,recoverability,4
37,recoverability,2
38,recoverability,5
39,recoverability,4
40,recoverability,3
41,recoverability,3
42,recoverability,5
43,recoverability,3
44,recoverability,3
45,recoverability,3
46,recoverability,3
47,recoverability,3
48,recoverability,3
49,recoverability,5
50,recoverability,2
51,recoverability,4
52,recoverability,3
53,recoverability,5
54,recoverability,5
55,recoverability,4
